Crime,3.1625839378882294,907
Romance,3.1562777018393637,1206
TV Movie,3.1481180692209993,87
Thriller,3.1482817481660925,1427
Adventure,3.16870906252558,707
Foreign,3.113985834407913,271
Drama,3.139121624291453,3724
War,3.114663382606142,231
Documentary,3.0742356093239853,503
Family,3.1569054919202837,386
Fantasy,3.142913521900703,463
History,3.1187910458495405,306
Mystery,3.148769392655549,475
Animation,3.175885456020015,223
Music,3.1890477821347663,248
Science Fiction,3.1571636839139883,593
Horror,3.1340202623924744,723
Western,3.2140607181871017,185
Comedy,3.1370494677399545,2113
Action,3.158532929451071,1175
