Crime,3.162583937888233,907
Romance,3.1562777018393633,1206
TV Movie,3.148118069220997,87
Thriller,3.148281748166091,1427
Adventure,3.1687090625255823,707
Foreign,3.1139858344079134,271
Drama,3.1391216242914495,3724
War,3.1146633826061407,231
Documentary,3.0742356093239827,503
Family,3.156905491920284,386
Fantasy,3.142913521900703,463
History,3.11879104584954,306
Mystery,3.1487693926555473,475
Animation,3.175885456020015,223
Music,3.1890477821347685,248
Science Fiction,3.157163683913989,593
Horror,3.134020262392473,723
Western,3.2140607181871013,185
Comedy,3.1370494677399536,2113
Action,3.1585329294510722,1175
