('Romance', (3.156277701839363, 1206))
('Western', (3.2140607181871013, 185))
('Crime', (3.1625839378882317, 907))
('Drama', (3.13912162429145, 3724))
('Action', (3.158532929451071, 1175))
('Comedy', (3.137049467739954, 2113))
('Horror', (3.1340202623924758, 723))
('Music', (3.1890477821347667, 248))
('TV Movie', (3.1481180692209967, 87))
('Science Fiction', (3.157163683913988, 593))
('Animation', (3.1758854560200147, 223))
('Adventure', (3.168709062525581, 707))
('Thriller', (3.148281748166091, 1427))
('History', (3.118791045849541, 306))
('Family', (3.1569054919202837, 386))
('Mystery', (3.1487693926555482, 475))
('Fantasy', (3.1429135219007027, 463))
('Foreign', (3.113985834407914, 271))
('War', (3.1146633826061416, 231))
('Documentary', (3.0742356093239853, 503))
